Период уплаты премии;Возраст Застрахованного;Пол;Смерть ЛП;Инвалидность 1,2. гр. ЛП;Смерть НС;Смерть ДТП;Травма;"КЗ РФ
Взнос";"КЗ Зарубеж
Взнос";i
1;70;m;1,94964%;0,00000%;0,09684%;0,02424%;0,15840%;0,00;0,00;0,08
2;18;m;0,05698%;0,01631%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
2;19;m;0,06628%;0,01631%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
2;20;m;0,07632%;0,01631%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
2;21;m;0,08695%;0,01631%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
2;22;m;0,09825%;0,01631%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
2;23;m;0,11026%;0,01631%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
2;24;m;0,12294%;0,01632%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
2;25;m;0,13588%;0,01632%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
2;26;m;0,14870%;0,01632%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
2;27;m;0,16127%;0,01632%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
2;28;m;0,17355%;0,01632%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
2;29;m;0,18553%;0,01632%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
2;30;m;0,19686%;0,01725%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
2;31;m;0,20722%;0,01939%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
2;32;m;0,21674%;0,02210%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
2;33;m;0,22571%;0,02533%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
2;34;m;0,23449%;0,02889%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
2;35;m;0,24356%;0,03313%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
2;36;m;0,25335%;0,03805%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
2;37;m;0,26427%;0,04354%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
2;38;m;0,27681%;0,04987%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
2;39;m;0,29121%;0,05728%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
2;40;m;0,30724%;0,06479%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
2;41;m;0,32466%;0,07253%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
2;42;m;0,34375%;0,08165%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
2;43;m;0,36488%;0,09184%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
2;44;m;0,38823%;0,10301%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
2;45;m;0,41364%;0,11487%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
2;46;m;0,44091%;0,12730%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
2;47;m;0,47045%;0,14025%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
2;48;m;0,50275%;0,15403%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
2;49;m;0,53799%;0,17328%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
2;50;m;0,57561%;0,19434%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
2;51;m;0,61497%;0,21235%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
2;52;m;0,65648%;0,23135%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
2;53;m;0,70075%;0,25104%;0,09684%;0,02424%;0,15840%;8 840,00;51 390,00;0,08
